Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
CSV,Chrëschtlech Sozial Vollekspartei,Christian Social People's Party,3,2,Centre-right,Centre-right,"christian-democratic, moderately conservative, pro-EU","Big-tent Christian-democratic party; supports social market economy, family policy, and European integration."
LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,Luxembourg Socialist Workers' Party,-4,-2,Left,Centre-left,"social-democratic, pro-welfare, socially liberal","Traditional social-democratic party focused on workers’ rights, welfare state, and civil liberties; pro-European."
DP,Demokratesch Partei,Democratic Party,2,-3,Centre-right,Centre-left,"social-liberal, pro-civil-liberties, pro-EU","Liberal party combining market-friendly economics with strong emphasis on individual rights, civil liberties, and European integration."
KPL,Kommunistesch Partei vu Lëtzebuerg,Communist Party of Luxembourg,-9,1,Far Left,Left,"Marxist-Leninist, state-led egalitarianism, mildly authoritarian","Far-left communist party advocating collectivisation of the means of production and a planned economy; historically hard Eurosceptic."
MIP,Mouvement indépendant populaire,Popular Independent Movement,1,2,Centre,Centre-right,"single-issue, veterans’ interests, socially traditional","1960s single-issue party for forcibly conscripted Luxembourgers; broadly aligned with conservative camp but mainly focused on compensation for conscripts."
SDP,Parti Social Démocrate,Social Democratic Party,-1,-1,Centre-left,Centre-left,"moderate social-democratic, centrist coalition-oriented","Breakaway from LSAP representing its more moderate/centrist wing; fiscally and socially moderate, positioned between LSAP and CSV/DP."
ZEF,Enrôlés de Force,Coerced Conscripts,0,0,Centre,Centre,"single-issue victims’ advocacy, cross-partisan","Single-issue party representing Luxembourgers forcibly conscripted into the Wehrmacht; ideologically eclectic, focused on recognition and reparations."
SI,Parti socialiste indépendant,Independent Socialist Party,-6,-3,Left,Left,"democratic-socialist, more radical than LSAP","Jean Gremling’s independent socialist list; criticised LSAP for moderating socialism and pushed for more uncompromising left-wing policies."
GRENG,Déi Gréng,The Greens,-3,-5,Centre-left,Left,"green-progressive, environmentalist, socially liberal","Green party combining environmentalism with social justice, gender equality, and civil rights; strongly pro-European and coalition-friendly."
GLEI,Gréng Lëscht Ekologesch Initiativ,Green Left Ecological Initiative,-6,-5,Left,Left,"eco-socialist, anti-nuclear, strongly progressive","Radical green-left list stressing ecological transformation, anti-nuclear stance and expansive social rights; ideologically left of the main Greens."
ADR,Alternativ Demokratesch Reformpartei,Alternative Democratic Reform Party,3,5,Right,Right,"national-conservative, socially conservative, soft Eurosceptic","National-conservative party that began as a pensioners’ movement; economically liberal and fiscally hawkish, socially conservative, and Euro-realist/softly Eurosceptic."
DL,Déi Lénk,The Left,-7,-4,Far Left,Left,"democratic-socialist, anti-austerity, pro-migrant","Radical left party advocating redistribution, strong public services, feminist and pro-migrant policies, and scepticism toward NATO and neoliberal EU policies."
PPLU,Piratepartei Lëtzebuerg,Pirate Party Luxembourg,-1,-7,Centre-left,Far Left,"left-libertarian, digital-rights, civil-liberties-focused","Pirate party emphasising digital civil liberties, transparency, participatory democracy, and social liberalism; economically mildly left-of-centre but strongly libertarian on civil rights."
